sam,date,plate,plateOrder,geno,size,species,airbrushVol,SA,prot.10uL.,protN,cat,po,ppo,pox,catN,abs.catN,poN,ppoN,poxN
A10,9/11/2016,3,8,A,10,cav,1.5,1.970588235,0.730681781,0.556190609,-0.570934256,0.006633333,0.002455556,0.019794118,-1.026508263,1.026508263,0.011926367,0.004414953,0.03558873
A11,10/28/2016,4,1,A,11,cav,1,2.225490196,1.18146845,0.530880096,-0.6223099,0.014383333,0.012577778,0.162235294,-1.172223076,1.172223076,0.027093375,0.023692314,0.305596867
A12,11/8/2016,7,10,A,12,cav,1.5,3.205882353,1.982583775,0.92763094,-1.058127393,0.0272,0.026216667,0.049294118,-1.140677124,1.140677124,0.029322006,0.028261958,0.053139795
A14,9/11/2016,3,10,A,14,cav,1,2.294117647,0.988810932,0.43102015,-0.429065744,0.006755556,0.002666667,0.052558824,-0.995465627,0.995465627,0.01567341,0.006186872,0.121940525
A16,9/11/2016,3,7,A,16,cav,2,1.666666667,0.72557025,0.8706843,-0.53633218,0.003555556,0.001477778,0.015558824,-0.615989263,0.615989263,0.004083633,0.00169726,0.01786965
A17,11/8/2016,7,9,A,17,cav,1,1.5,1.028928487,0.685952325,-0.364311405,0.011533333,0.008641667,0.059529412,-0.531103098,0.531103098,0.016813608,0.012598057,0.086783599
A3,11/1/2016,5,6,A,3,cav,2,15.48039216,1.036548724,0.133917631,-0.764305722,0.019783333,0.016055556,0.183911765,-5.70728227,5.70728227,0.147727623,0.119891275,1.373320025
A4,11/18/2016,9,13,A,4,cav,3,17.85294118,0.800524241,0.134519724,-0.599976518,0.0143,0.011888889,0.030352941,-4.460137881,4.460137881,0.106304113,0.088380265,0.225639335
A5,8/28/2016,1,2,A,5,cav,3,6.117647059,1.227505215,0.601949673,-0.646669264,0.018511111,0.0149,0.071352941,-1.074291246,1.074291246,0.030751925,0.0247529,0.11853639
A6,9/11/2016,2,7,A,6,cav,3,6.852941176,1.000958806,0.438187975,-0.730103806,0.007944444,0.002755556,0.022470588,-1.666188594,1.666188594,0.01813022,0.006288524,0.051280705
A7,9/11/2016,3,1,A,7,cav,3.5,7.62745098,1.042618512,0.478425204,-0.671280277,0.009033333,0.001433333,0.032470588,-1.403103914,1.403103914,0.018881391,0.00299594,0.067869727
A8,11/15/2016,8,2,A,8,cav,2,4.333333333,1.244908726,0.574573258,-0.521310321,0.015183333,0.013875,0.014254902,-0.907300006,0.907300006,0.026425409,0.024148357,0.024809546
A9,9/11/2016,2,4,A,9,cav,1.5,3.460784314,1.027917051,0.445527787,-0.529411765,0.012588889,0.001455556,0.044588235,-1.188280014,1.188280014,0.028256125,0.003267037,0.100079583
B10,8/28/2016,1,4,B,10,cav,1,1.303921569,0.545629207,0.418452475,-0.116867939,0.003655556,0.0029,0.016970588,-0.279286051,0.279286051,0.008735892,0.006930297,0.040555593
B11,8/28/2016,1,7,B,11,cav,1,1.754901961,0.699417461,0.398550732,-0.070120764,0.007911111,0.005955556,0.007852941,-0.175939367,0.175939367,0.019849697,0.01494303,0.019703743
B3,9/11/2016,3,6,B,3,cav,2,18.74509804,1.106857877,0.118095715,-0.141868512,0.0127,0.008688889,0.008294118,-1.201301099,1.201301099,0.107539888,0.073574972,0.070232164
B4,11/18/2016,9,6,B,4,cav,2,8.735294118,1.369148819,0.31347515,-1.190560056,0.027022222,0.0208,0.052470588,-3.797940777,3.797940777,0.086202119,0.066352947,0.167383565
B5,11/8/2016,7,4,B,5,cav,2,5.294117647,2.980945891,1.126135115,-0.295857988,0.0321,0.032683333,0.016117647,-0.262719797,0.262719797,0.028504572,0.029022568,0.014312356
B6,11/15/2016,8,6,B,6,cav,2,7.274509804,1.596791034,0.439009934,-0.725607608,0.037166667,0.03525,0.002392157,-1.652827311,1.652827311,0.084660195,0.080294311,0.005448981
B7,11/4/2016,6,2,B,7,cav,1.5,5.392156863,0.549359542,0.152821836,-0.147058824,0.013411111,0.011277778,0.001294118,-0.962289338,0.962289338,0.087756511,0.0737969,0.008468146
B8,11/18/2016,9,11,B,8,cav,1,2.362745098,0.347582165,0.147109464,-0.093929787,0.0081,0.006144444,0.001617647,-0.638502683,0.638502683,0.055061039,0.041767839,0.010996213
B9,11/18/2016,9,16,B,9,cav,1.5,2.549019608,0.427582147,0.251615648,-0.514265586,0.014677778,0.012533333,0.001794118,-2.043853754,2.043853754,0.058334122,0.049811422,0.00713039
C10,11/8/2016,7,11,C,10,cav,2,2.225490196,0.52898073,0.475383564,-0.138067061,0.00415,0.004108333,0.004264706,-0.290432972,0.290432972,0.008729793,0.008642144,0.008971084
C11,9/11/2016,2,10,C,11,cav,1,4.598039216,1.102017692,0.239671225,-0.456747405,0.006877778,0.013444444,0.008147059,-1.90572483,1.90572483,0.028696719,0.056095363,0.033992645
C4,11/8/2016,7,7,C,4,cav,2.5,20.74509804,2.209451374,0.266261862,-0.377073906,0.012566667,0.012441667,0.042,-1.41617693,1.41617693,0.047196645,0.046727183,0.157739451
C5,11/15/2016,8,13,C,5,cav,1,9.509803922,2.288275868,0.240622823,-0.721380768,0.0225,0.01945,0.004196078,-2.997973169,2.997973169,0.093507339,0.0808319,0.017438406
C6,11/15/2016,8,4,C,6,cav,2,12,1.586962971,0.264493829,-0.545262416,0.013466667,0.011033333,0.004803922,-2.061531717,2.061531717,0.050914862,0.041714899,0.018162698
C7,11/4/2016,6,6,C,7,cav,1,8.058823529,1.242987156,0.154239282,-0.114379085,0.011477778,0.010088889,0.009911765,-0.741569096,0.741569096,0.074415399,0.065410632,0.064262259
C8,11/15/2016,8,10,C,8,cav,1.5,5.87254902,0.836077074,0.21355558,-0.273335682,0.009933333,0.008308333,0.002176471,-1.279927604,1.279927604,0.046514043,0.038904782,0.010191588
C9,11/18/2016,9,7,C,9,cav,1,9.264705882,0.40336195,0.04353748,-0.737348832,0.005744444,0.004433333,0.003,-16.93595557,16.93595557,0.13194251,0.101827972,0.068906147
D10,11/18/2016,9,15,D,10,cav,1,2.205882353,0.472376034,0.214143802,-0.22543149,0.008122222,0.006133333,0.002852941,-1.052710786,1.052710786,0.037928822,0.02864119,0.013322548
D11,11/18/2016,9,12,D,11,cav,1.5,2.098039216,0.225754831,0.161404155,0.008218856,0.002722222,0.001866667,0.001823529,0.050920972,0.050920972,0.016865875,0.011565171,0.011297909
D5,11/15/2016,8,7,D,5,cav,2,9.039215686,2.230192793,0.493448297,-0.873547024,0.0166,0.015266667,0.002941176,-1.770290888,1.770290888,0.033640809,0.030938736,0.005960455
D6,11/15/2016,8,1,D,6,cav,2,8.568627451,2.356889969,0.550120771,-1.010214864,0.0232,0.025666667,0.002509804,-1.836351067,1.836351067,0.042172558,0.046656422,0.004562278
D7,11/18/2016,9,1,D,7,cav,1.5,7.156862745,0.611077948,0.128075241,-0.435599389,0.008477778,0.006711111,0.004911765,-3.40112098,3.40112098,0.066193729,0.052399754,0.038350618
D8,11/1/2016,5,3,D,8,cav,1.5,4.245098039,2.007364208,0.709299593,-0.37414966,0.013933333,0.011344444,0.029647059,-0.527491716,0.527491716,0.019643792,0.015993869,0.041797654
D9,11/1/2016,5,4,D,9,cav,1.5,2.421568627,0.44786827,0.277424475,-0.071028411,0.005683333,0.004688889,0.003382353,-0.25602792,0.25602792,0.020486056,0.016901497,0.012191977
E11,11/18/2016,9,9,E,11,cav,1.5,1.901960784,0.113124193,0.089216503,-0.028178936,0.002333333,0.001722222,0.002823529,-0.315848921,0.315848921,0.026153607,0.019303853,0.031648062
E13,11/18/2016,9,4,E,13,cav,1.5,1.147058824,0.165997056,0.217073073,0.056357872,0.001477778,0.002088889,0.002382353,0.259626271,0.259626271,0.006807743,0.009622976,0.010974889
E17,11/15/2016,8,11,E,17,cav,1,0.784313725,0.510493206,0.650878838,-0.154984149,0.035,0.0028,0.00054902,-0.238115207,0.238115207,0.053773449,0.004301876,0.000843505
E3,11/15/2016,8,14,E,3,cav,1.5,12.7745098,2.601138574,0.305429165,-0.982035928,0.017166667,0.014416667,0.026862745,-3.215265734,3.215265734,0.056205067,0.047201343,0.087950819
E4,11/8/2016,7,5,E,4,cav,1.5,7.735294118,4.389207989,0.851139192,-1.197354682,0.021,0.018383333,0.195647059,-1.406767181,1.406767181,0.024672815,0.021598504,0.229864939
E5,11/18/2016,9,3,E,5,cav,1.5,7.392156863,1.816412786,0.368582435,-0.73147822,0.011177778,0.011511111,0.052941176,-1.984571564,1.984571564,0.030326398,0.031230764,0.143634561
E6,10/28/2016,4,5,E,6,cav,1.5,4.529411765,0.908352322,0.300817977,-0.348816356,0.0126,0.007411111,0.047029412,-1.159559543,1.159559543,0.041885795,0.02463653,0.156338435
E7,11/4/2016,6,5,E,7,cav,1.5,3.294117647,0.409199349,0.186331846,-0.087145969,0.004555556,0.003577778,0.004470588,-0.467692299,0.467692299,0.024448615,0.019201107,0.023992615
E8,11/18/2016,9,10,E,8,cav,1.5,2.911764706,0.28191212,0.145227456,-0.275918751,0.004088889,0.003266667,0.007382353,-1.899907629,1.899907629,0.028155068,0.022493451,0.050833039
E9,9/11/2016,2,2,E,9,cav,1,2.333333333,0.677114212,0.290191805,-0.14532872,0.002288889,0.000177778,0.024676471,-0.500802287,0.500802287,0.007887504,0.000612622,0.085035036
V10,11/15/2016,8,5,V,10,fav,2,3.715686275,0.924262656,0.4974923,-0.431137725,0.0021,0.001391667,0.021431373,-0.866621904,0.866621904,0.004221171,0.002797363,0.043078802
V11,11/18/2016,9,8,V,11,fav,2,4.333333333,0.106825376,0.04930402,-0.207819655,0.001066667,0.000544444,0.001588235,-4.215065157,4.215065157,0.021634477,0.011042598,0.0322131
V12,11/15/2016,8,9,V,12,fav,1.5,0.676470588,0.242576924,0.537887962,-0.335329341,0.002266667,0.00185,0.000823529,-0.623418565,0.623418565,0.004214013,0.003439378,0.001531043
V13,9/11/2016,2,11,V,13,fav,2,2.480392157,0.611603696,0.493150806,-0.640138408,0.001288889,0.001288889,0.002205882,-1.298058121,1.298058121,0.00261358,0.00261358,0.004473038
V15,11/15/2016,8,12,V,15,fav,1,2.147058824,0.529312453,0.246529088,-0.648115534,0.0016,0.00165,0.000784314,-2.628961717,2.628961717,0.006490106,0.006692922,0.003181425
V16,11/8/2016,7,8,V,16,fav,2,1.568627451,0.736841365,0.939472741,-0.280775032,0.001266667,0.001166667,0.009882353,-0.29886448,0.29886448,0.001348274,0.001241831,0.010519042
V6,8/28/2016,1,1,V,6,fav,2.5,17.07843137,0.73474202,0.107554085,-0.584339696,0.003844444,0.003466667,0.025882353,-5.432984705,5.432984705,0.035744291,0.032231846,0.240645003
V7,11/4/2016,6,3,V,7,fav,2.5,14.33333333,0.798880728,0.139339662,-0.247276688,0.001322222,0.001133333,0.019352941,-1.774632471,1.774632471,0.009489202,0.008133602,0.138890399
V8,8/28/2016,1,5,V,8,fav,2,11.51960784,1.078708735,0.187282197,-0.22984028,0.002422222,0.001922222,0.018705882,-1.227240409,1.227240409,0.012933542,0.010263774,0.099880729
V9,9/11/2016,2,3,V,9,fav,2,6.588235294,0.68639414,0.20836965,-0.84083045,0.000944444,0.000111111,0.005647059,-4.035282735,4.035282735,0.004532543,0.00053324,0.027101158
W10,10/28/2016,4,4,W,10,fav,2,3.833333333,0.336449551,0.175538896,-0.051111908,0.014216667,0.0132,0.002735294,-0.291171411,0.291171411,0.080988698,0.075197009,0.015582268
W11,10/28/2016,4,3,W,11,fav,1.5,1.107843137,0.198886441,0.269288721,-0.111190818,0.004466667,0.006922222,0.003617647,-0.412905588,0.412905588,0.016586906,0.025705578,0.013434083
W3,8/28/2016,1,8,W,3,fav,2.5,10.2254902,0.680291043,0.166322355,-0.518114531,0.016155556,0.015633333,0.008882353,-3.115122627,3.115122627,0.097134,0.09399418,0.053404444
W4,11/18/2016,9,2,W,4,fav,6,10.04901961,0.371599218,0.221871924,-0.880591758,0.019322222,0.016433333,0.004029412,-3.968919292,3.968919292,0.08708728,0.074066755,0.018160981
W5,9/11/2016,2,5,W,5,fav,10.5,10.03921569,0.603768866,0.631480914,-0.574394464,0.011511111,0.009266667,0.001676471,-0.909599089,0.909599089,0.018228755,0.0146745,0.002654824
W6,9/11/2016,3,13,W,6,fav,3,7.31372549,0.771303646,0.316379244,-0.044982699,0.011522222,0.0065,0.011764706,-0.142179678,0.142179678,0.036419021,0.020544963,0.037185454
W7,11/18/2016,9,5,W,7,fav,3.5,5.509803922,0.266278827,0.16914865,-0.844193965,0.015044444,0.013066667,0.005852941,-4.990840695,4.990840695,0.088942149,0.077249607,0.034602352
W8,9/11/2016,3,11,W,8,fav,2,3.941176471,0.624394245,0.316856781,-0.259515571,0.011655556,0.010433333,0.005294118,-0.819031141,0.819031141,0.036784933,0.0329276,0.016708235
W9,9/11/2016,3,4,W,9,fav,3,5.470588235,0.600399655,0.329251424,-0.332179931,0.010566667,0.001111111,0.002029412,-1.008894439,1.008894439,0.032093002,0.003374658,0.006163714
X10,9/11/2016,2,6,X,10,fav,3,3.892156863,0.651717236,0.502331169,-0.107266436,0.001533333,0.001122222,0.0065,-0.213537289,0.213537289,0.003052435,0.002234029,0.012939671
X11,9/11/2016,2,1,X,11,fav,2,2.18627451,0.497189132,0.454827726,-0.3183391,0.0011,0.000244444,0.0025,-0.699911378,0.699911378,0.002418498,0.000537444,0.005496587
X12,8/28/2016,1,3,X,12,fav,1.5,1.470588235,0.537827056,0.548583597,-0.405142189,0.000433333,0.001088889,0.021558824,-0.738524067,0.738524067,0.000789913,0.00198491,0.039299067
X13,9/11/2016,2,12,X,13,fav,3.5,2.049019608,0.638036247,1.089851388,-0.546712803,0.001422222,0.008188889,0.001676471,-0.501639773,0.501639773,0.001304969,0.007513767,0.001538256
X14,11/4/2016,6,4,X,14,fav,2,1.892156863,0.297521704,0.314478899,-0.096949891,0.000766667,0.000711111,0.005970588,-0.308287428,0.308287428,0.002437895,0.002261236,0.018985656
X15,11/15/2016,8,16,X,15,fav,2,1.274509804,0.235047693,0.368844073,-0.112011272,0.0016,0.000941667,0.003686275,-0.303681907,0.303681907,0.004337876,0.002553021,0.009994127
X3,9/11/2016,3,12,X,3,fav,13.5,23.44117647,0.577703252,0.332704884,-0.079584775,0.001455556,0.003622222,0.007235294,-0.23920531,0.23920531,0.004374915,0.010887193,0.021746883
X4,11/8/2016,7,1,X,4,fav,2.5,20.73529412,0.629391742,0.075884111,-0.86959044,0.002366667,0.00195,0.019705882,-11.45945351,11.45945351,0.031187908,0.025697079,0.259683907
X5,9/11/2016,2,13,X,5,fav,3,8.333333333,1.166210007,0.419835602,-0.117647059,0.001455556,0.001122222,0.021970588,-0.28022173,0.28022173,0.003466966,0.002673004,0.052331408
X6,9/11/2016,2,9,X,6,fav,2.5,9.343137255,0.540651974,0.144665534,-0.539792388,0.001233333,0.012177778,0.004970588,-3.731313011,3.731313011,0.008525412,0.084178847,0.034359174
X7,9/11/2016,3,9,X,7,fav,2.5,7.31372549,0.537042737,0.18357359,-0.460207612,0.001311111,0.012544444,0.002823529,-2.506938026,2.506938026,0.007142155,0.068334691,0.015380913
X8,10/28/2016,4,2,X,8,fav,2,5.843137255,0.033472809,0.011457136,-0.956779053,0.002033333,0.002366667,0.038941176,-83.50944372,83.50944372,0.177473091,0.20656704,3.398857839
X9,11/8/2016,7,3,X,9,fav,6,5.784313725,0.535495754,0.555463393,-0.739064857,0.001983333,0.0016,0.015823529,-1.330537469,1.330537469,0.003570592,0.002880478,0.028487079
Y10,11/1/2016,5,5,Y,10,fav,2.5,7.31372549,0.214448687,0.073303506,-0.828331333,0.002516667,0.002733333,0.022264706,-11.30002344,11.30002344,0.034332146,0.037287894,0.303733166
Y11,11/4/2016,6,1,Y,11,fav,2,3.274509804,0.177972567,0.108701807,-0.159041394,0.0015,0.0012,0.002676471,-1.463097978,1.463097978,0.013799219,0.011039375,0.024622135
Y12,11/15/2016,8,8,Y,12,fav,2.5,4.617647059,0.184725166,0.10001044,-0.555125044,0.00145,0.001908333,0.003176471,-5.550670955,5.550670955,0.014498486,0.019081341,0.03176139
Y13,11/15/2016,8,3,Y,13,fav,1.5,0.264705882,0.350460337,1.985941909,-0.25854174,0.001066667,0.000691667,0.000313725,-0.130185953,0.130185953,0.000537109,0.000348281,0.000157973
Y4,9/11/2016,3,3,Y,4,fav,6,15.28431373,0.695681468,0.273096253,-0.179930796,0.003166667,0.000966667,0.007676471,-0.658854869,0.658854869,0.011595423,0.003539656,0.028109029
Y5,8/28/2016,1,6,Y,5,fav,3,5.960784314,0.573440164,0.288606398,-0.436306973,0.002655556,0.002733333,0.017735294,-1.511771657,1.511771657,0.009201305,0.009470799,0.061451493
Y6,11/8/2016,7,2,Y,6,fav,3.5,8.509803922,0.124036976,0.051015208,-0.996055227,0.0018,0.001991667,0.018294118,-19.52467247,19.52467247,0.035283596,0.039040646,0.358601256
Y7,10/28/2016,4,6,Y,7,fav,2.5,6.803921569,0.134330744,0.049357838,-0.677905308,0.002866667,0.003255556,0.018647059,-13.73450158,13.73450158,0.058079259,0.065958228,0.377793264
Y8,11/15/2016,8,15,Y,8,fav,2,5.235294118,0.415774517,0.158835209,-0.495949278,0.002316667,0.001975,0.011607843,-3.12241399,3.12241399,0.014585347,0.012434271,0.073081046
Y9,11/1/2016,5,2,Y,9,fav,2,7.441176471,0.919521964,0.247144243,-0.845338135,0.004033333,0.003444444,0.045852941,-3.42042414,3.42042414,0.016319754,0.01393698,0.185531091
Z11,11/18/2016,9,14,Z,11,fav,2,1.960784314,0.233638744,0.238311519,-0.563578725,0.001166667,0.000855556,0.001970588,-2.364882432,2.364882432,0.004895553,0.003590072,0.008268959
Z3,11/1/2016,5,1,Z,3,fav,10.5,13.75490196,0.468748527,0.357825853,-0.694277711,0.002966667,0.003188889,0.017411765,-1.940267044,1.940267044,0.008290811,0.008911846,0.048659885
Z4,9/11/2016,3,5,Z,4,fav,6.5,12.41176471,0.609175664,0.319023274,-0.332179931,0.002722222,0.001033333,0.003852941,-1.041240429,1.041240429,0.008532989,0.003239053,0.012077304
Z5,9/11/2016,3,2,Z,5,fav,2,4.117647059,0.5380217,0.261324826,-0.435986159,0.001744444,0.008,0.000794118,-1.668368698,1.668368698,0.006675387,0.030613242,0.003038814
Z6,11/8/2016,7,12,Z,6,fav,2,5.18627451,0.458504285,0.176814507,-0.671771667,0.0016,0.00165,0.010529412,-3.799301757,3.799301757,0.009049031,0.009331813,0.05955061
Z8,11/8/2016,7,6,Z,8,fav,2.5,2.392156863,0.262366019,0.274193996,-0.441466527,0.001466667,0.0013,0.006911765,-1.610051767,1.610051767,0.005349011,0.004741169,0.025207571
Z9,9/11/2016,2,8,Z,9,fav,2,2.254901961,0.560317736,0.49697747,-0.640138408,0.000988889,0.001377778,0.001294118,-1.288063236,1.288063236,0.001989806,0.002772314,0.002603976
